apa_mm,aoh_mm,amox_mm,ester_mm,ester_hid
0.0,0.0,0.0,10.0,0.21580838027346028
0.0,0.0,0.0,30.0,0.35449648364766184
0.0,0.0,0.0,85.5,0.516546424953153
0.0,0.0,0.0,120.0,0.5169927466729047
0.0,0.0,30.0,10.0,0.05040046628771022
0.0,0.0,30.0,30.0,0.28556283644547376
0.0,0.0,30.0,90.0,0.49546655841872467
0.0,0.0,0.0,5.0,0.005569437206426997
0.0,0.0,0.0,15.0,0.21554574612722854
0.0,0.0,0.0,33.5,0.3573098108375796
0.0,0.0,0.0,90.0,0.5033272154700457
0.0,0.0,0.0,120.0,0.46124596093333636
