AMOX;NH;AB;AOH;Vs
0;5;5;0;0.0106993
0;5;10;0;0.0123261
0;5;40;0;0.0521881
0;5;55;0;0.0380984
0;5;80;0;0.0565409
0;100;30;0;0.0422093
0;100;40;0;0.0291279
0;100;55;0;0.0448256
0;100;70;0;0.111105
0;100;80;0;0.139884
0;20;5;0;0.00646707
0;20;30;0;0.0287425
0;20;55;0;0.0747305
0;20;80;0;0.113533
