amox_t ,amox_mm               ,apa_t ,apa_mm              ,aoh_t ,aoh_mm              ,ester_t ,ester_mm
   0.0 ,0.0,  0.0 ,10.0  ,  0.0 ,0.0 ,    0.0 ,55.0
   5.0 ,0.41952441800943596   ,  5.0 , 9.60411940334869   ,  5.0 ,0.7547273246046586  ,    5.0 ,53.700196773289605
  10.0 ,0.8050946365761629    , 10.0 , 9.167960858533307  , 10.0 ,1.4198292379672353  ,   10.0 ,52.68252420949017
  15.0 ,1.1652863846695798    , 15.0 , 8.84317589542541   , 15.0 ,2.1937689302488366  ,   15.0 ,51.46819169483345
  20.0 ,1.5183444181185823    , 20.0 , 8.490121856904313  , 20.0 ,2.8371731499462385  ,   20.0 ,50.616863696105895
  32.0 ,2.224305073308116     , 32.0 , 7.802688736100412  , 32.0 ,4.513605773451559   ,   32.0 ,48.311997936877304
  40.0 ,2.634053646981771     , 40.0 , 7.3745928540131285 , 40.0 ,5.553792085509826   ,   40.0 ,46.871038414960864
  50.0 ,2.9821416403990106    , 50.0 , 7.020566354297936  , 50.0 ,7.419368113779086   ,   50.0 ,44.55822034840472
  60.0 ,3.3337871702891473    , 60.0 , 6.6648053474377065 , 60.0 ,8.806986647202365   ,   60.0 ,42.88636863128218
