amox_t                 ,amox_mm              ,apa_t                 ,apa_mm             ,aoh_t                 ,aoh_mm               ,ester_t               ,ester_mm
 0.0 ,0.0 , 0.0 ,20.0 , 0.0 , 0.0 , 0.0 ,80.0
 5.0 ,0.6783190730958175   , 5.0 ,19.248774801238554 , 5.0 , 0.9585559246710886  , 5.0 ,78.36030500668483
10.0 ,1.3353042015089152   ,10.0 ,18.439519820364783 ,10.0 , 1.8986351086430773  ,10.0 ,76.7104259436974
15.0 ,1.8833034816245657   ,15.0 ,17.822500967520206 ,15.0 , 3.072687594955255   ,15.0 ,74.99597813869993
20.0 ,2.498073160609465    ,20.0 ,17.127893810151974 ,20.0 , 4.256599730281309   ,20.0 ,73.29971402865809
32.0 ,3.6868433534182437   ,32.0 ,15.864642167126245 ,32.0 , 6.56950740317987    ,32.0 ,69.80049651626436
40.0 ,4.370466986818435    ,40.0 ,15.127669048739545 ,40.0 , 8.127737343270041   ,40.0 ,67.5849314825584
50.0 ,5.019663643011       ,50.0 ,14.413433528981638 ,50.0 ,11.116927385996249   ,50.0 ,63.91469641362434
60.0 ,5.560660856504818    ,60.0 ,13.79347158914553  ,60.0 ,13.049500531559971   ,60.0 ,61.535669356076994
