aoh_t,aoh_mm,apa_t,apa_mm,amox_t,amox_mm,ester_t,ester_mm
0,2.33,0,46.29,0,0.65,0,43.24
42,3.17,42,47.02,42,1.48,42,42.91
87,3.56,87,40.32,87,1.83,87,35.83
120,3.93,120,39.64,120,2.18,120,34.72
162,4.41,162,39.10,162,2.44,162,34.47
217,5.00,217,38.93,217,2.80,217,32.25
268,5.52,268,39.32,268,3.10,268,31.82
309,5.60,309,36.92,309,3.08,309,29.67
348,6.12,348,38.85,348,3.41,348,30.04
438,6.17,438,36.41,438,3.37,438,28.22
484,6.89,484,38.04,484,3.93,484,29.13
540,7.19,540,37.65,540,3.81,540,27.96
