amox_t,amox_mm,apa_t,apa_mm,aoh_t,aoh_mm,ester_t,ester_mm
0.0,0.0,0.0,5.00,0.0,0.0,0.0,55.0
5.0,0.27850140018923675,5.0,4.739493754981741,5.0,1.4202723980105816,5.0,53.30096074719647
10.0,0.49533176036948046,10.0,4.534330440023373,10.0,2.758874515249204,10.0,51.888029787880626
20.0,0.8352068621646014,20.0,4.18618371872819,20.0,5.160905564779284,20.0,49.22315251075028
30.0,1.0301942946399638,30.0,4.004261986196784,30.0,7.412969252014037,30.0,46.71064614691717
40.0,1.2136582152412663,40.0,3.802490512794625,40.0,9.723574041401434,40.0,44.19856626442336
50.0,1.338963620816589,50.0,3.6889852338288556,50.0,12.061484498073185,50.0,43.01677407798179
60.0,1.4354437589591402,60.0,3.5992687356996664,60.0,14.040517375791936,60.0,40.970250386883876
