amox_t,amox_mm,apa_t,apa_mm,aoh_t,aoh_mm,ester_t,ester_mm
0.0,0.06401498341678291,0.0,100.04518072289157,0.0,1.4210854715202004,0.0,40.038986354775815
5.0,0.4551437942036003,5.0,99.81927710843374,5.0,1.5984405458089412,5.0,38.440545808966874
10.0,0.4970414479114922,10.0,99.5794009734804,10.0,1.734754971564442,10.0,38.13622182808288
15.0,1.2401100040247286,15.0,98.55421686746988,15.0,1.4035087719298218,15.0,37.37091916920906
20.0,0.7235017956318472,20.0,99.45783132530121,20.0,1.9551401207357202,20.0,37.72239540947379
30.0,1.6097218594171139,30.0,98.53812615205058,30.0,2.427576230601929,30.0,36.34701534373208
60.0,2.595341203655437,60.0,97.32591068635178,60.0,3.0215894431606642,60.0,34.828127906452835
100.0,4.871879710930017,100.0,94.99651988377323,100.0,4.052516889837591,100.0,31.508147728517017
180.0,7.975041524267347,180.0,91.60543217504895,180.0,4.87552625586757,180.0,27.532457437311066
240.0,9.84342875699216,240.0,89.55804506945111,240.0,5.605056866574984,240.0,25.00901700275007
300.0,10.825621268602283,300.0,88.50760587175218,300.0,6.120088745931838,300.0,23.516787540102655
360.0,13.581921908122567,360.0,85.4269373153563,360.0,6.651545085380619,360.0,20.040707070473815
