apa_t ,apa_mm  ,amox_t ,amox_mm ,ester_t ,ester_mm ,aoh_t ,aoh_mm
  0.0 ,55.0    ,   0.0 , 0.0    ,    0.0 , 55.0    ,  0.0 ,0.623377
  5.0 ,54.6734 ,   5.0 , 0.2105 ,    5.0 , 54.375  ,  5.0 ,0.8311
 10.0 ,54.6734 ,  10.0 , 0.6315 ,   10.0 , 53.54   , 10.0 ,1.1948
 15.0 ,54.0206 ,  15.0 , 0.9473 ,   15.0 , 53.125  , 15.0 ,1.4026
 20.0 ,53.5919 ,  20.0 , 1.3157 ,   20.0 , 52.2917 , 20.0 ,1.7142
 30.0 ,52.7346 ,  30.0 , 2.26   ,   30.0 , 50.8333 , 30.0 ,2.1818
 40.0 ,52.08   ,  40.0 , 2.9473 ,   40.0 , 49.5833 , 40.0 ,2.8051
 50.0 ,51.2245 ,  50.0 , 3.6842 ,   50.0 , 48.3333 , 50.0 ,3.42857
