amox_t,amox_mm,apa_t,apa_mm,aoh_t,aoh_mm,ester_t,ester_mm
0.0,0.0,0.0,78.0,0.0,2.50,0.0,32.5
5.0,0.17828200972446595,5.0,77.79960860994464,5.0,2.945096749713656,5.0,32.00065702179824
10.0,0.43485907777152377,10.0,77.55248651930782,10.0,2.8636363636363455,10.0,31.79166666666668
15.0,0.5996758508914048,15.0,77.44782703721229,15.0,3.1287878787878753,15.0,31.393939393939398
60.0,3.0433136198908386,60.0,75.00569062634105,60.0,4.55559994055335,60.0,27.518843366278467
120.0,5.751556316612358,120.0,72.26351520453504,120.0,7.11753659304253,120.0,22.298464680424622
180.0,7.249813605041105,180.0,70.7713450757201,180.0,10.297139766704163,180.0,17.581632627867066
240.0,7.500312506308944,240.0,70.51387204195315,240.0,10.29885288822311,240.0,17.39610896188273
320.0,7.989436927963158,320.0,70.10162418172266,320.0,10.716961944587482,320.0,16.461747296030666
360.0,8.177881917719311,360.0,69.85116761461187,360.0,10.922149866206496,360.0,16.048599957168847
