aoh_t,aoh_mm,apa_t,apa_mm,amox_t,amox_mm,ester_t,ester_mm
0,3.01,0,70.42,0,0.00,0,60.69
53,18.18,53,58.79,53,15.21,53,25.10
95,20.79,95,54.03,95,14.32,95,18.00
135,28.08,135,57.45,135,13.32,135,10.92
175,34.63,175,59.83,175,11.59,175,6.45
215,41.16,215,61.04,215,8.57,215,2.94
268,45.80,268,59.53,268,5.92,268,0.96
318,48.63,318,61.40,318,4.04,318,0.00
373,49.75,373,62.53,373,2.92,373,0.00
418,50.29,418,63.06,418,2.38,418,0.00
