t,apa_mm,amox_mm,aoh_mm,ester_mm,apa_dot,amox_dot,aoh_dot,ester_dot
0.0,5.0,0.0,0.0,55.0,-0.05708491602368921,0.061668988776372065,0.30660510112211403,-0.3233276318842192
2.0,4.883333753860463,0.12422598341674228,0.6301657453282802,54.316798008264016,-0.05249093513333931,0.0562483603774504,0.2907696560874435,-0.3177308086534619
4.0,4.782621213690289,0.23169844120513836,1.1977152644322773,53.68714966316637,-0.04828447342457701,0.051300922213681405,0.2771337907400315,-0.31187721672758795
6.0,4.689951259181275,0.3297288105365854,1.7400659436180574,53.069440519956316,-0.044444913187135414,0.04680219144758871,0.26554547838709625,-0.30579655689772745
8.0,4.604610705101045,0.4191900233689598,2.261160862181792,52.4640950136507,-0.04095163671074764,0.0427276852416959,0.2558526923358555,-0.2995185299550106
10.0,4.525927601637759,0.5009060459851847,2.764639046034088,51.8714781776841,-0.03778402628514681,0.03905292075852662,0.24790340589352727,-0.2930728366905677
12.0,4.453271234400112,0.5756518789932309,3.253835467699988,51.29189564390882,-0.03492146420006602,0.03575341516060446,0.24154559236732956,-0.28648917789552897
14.0,4.386052124417327,0.6441535573261163,3.731781046318972,50.72559364259496,-0.03234333274523838,0.032804685610453035,0.23662722506448028,-0.27979725436102454
16.0,4.3237220281391675,0.707088150241906,4.201202647644954,50.17275900243028,-0.030029014210397012,0.030182249270595957,0.23299627729219738,-0.27302676687818467
18.0,4.265773937435926,0.765083761323712,4.664523084046285,49.63351915052036,-0.027957890885275026,0.02786162330355684,0.23050072235769883,-0.2662074162381396
20.0,4.211742079598432,0.8187195284796944,5.123861114505751,49.10794211238844,-0.026109345059605528,0.025818324871859304,0.2289885335682026,-0.25936890323201944
22.0,4.161201917338047,0.8685256239430595,5.581031444620575,48.59603651197557,-0.024462759023121637,0.02402787113802695,0.22830768423092662,-0.25254092865095457
24.0,4.113770148786666,0.9149832542720615,6.037544726602416,48.0977515716405,-0.022997515065556452,0.022465779264583395,0.2283061476530889,-0.24575319328607514
26.0,4.06910470749672,0.9585246603500014,6.494607559277368,47.612977112159726,-0.021692995476643093,0.021107566414052252,0.22883189714190733,-0.2390353979285113
28.0,4.026904762441171,0.9995331173852278,6.953122488085962,47.14154355272749,-0.020528582546114678,0.019928749748957142,0.2297329060045999,-0.23241724336939332
30.0,3.9869107180135157,1.0383429349111364,7.413688005083163,46.683221910955766,-0.019483658563704306,0.01890484643182165,0.23085714754838457,-0.22592843039985142
32.0,3.948904214027786,1.0752394567861698,7.876598548938373,46.237723802874285,-0.01853760581914509,0.01801137362516942,0.23205259508047926,-0.21959865981101578
34.0,3.9127081257185456,1.1104590611938188,8.34184450493543,45.80470144293048,-0.01766980660217015,0.017223848491524037,0.23316722190810196,-0.21345763239401666
36.0,3.878186563740894,1.1441891606426196,8.80911220497261,45.38374764398957,-0.01685964320251259,0.016517788193409134,0.23404900133847065,-0.20753504893998426
38.0,3.845244874170462,1.1765682019661579,9.277783927562623,44.97439581733448,-0.01608649790990553,0.01586870989334832,0.2345459066788032,-0.20186061024004878
40.0,3.813829638503416,1.207685666323065,9.74693789783261,44.57611997266589,-0.015329753014082056,0.015252130753865202,0.23450591123631764,-0.19646401708534045
42.0,3.783928673656456,1.2375820691970196,10.21534828752416,44.18833471810221,-0.014568790804775328,0.014643567937483386,0.23377698831823196,-0.19137497026698946
44.0,3.7555710319668147,1.2662489603967484,10.681485214993286,43.81039526017961,-0.013782993571718409,0.014018538606726492,0.23220711123176402,-0.18662317057612607
46.0,3.7288270011922604,1.2936289240560248,11.14351474521044,43.441597403851965,-0.012951743604644433,0.013352559924118136,0.22964425328413182,-0.18223831880388047
48.0,3.703808104511093,1.319615578633669,11.599298889760515,43.08117755249092,-0.012054423193286506,0.012621149052181917,0.22593638778255337,-0.17825011574138286
50.0,3.680667100522148,1.3440535769135498,12.046395606842834,42.72831270788585,-0.011070414627377748,0.011799823153441476,0.22093148803424653,-0.17468826217976346
52.0,3.659597983244794,1.3667386060045812,12.482058801271162,42.38212047024386,-0.009979100196651262,0.010864099390420386,0.21447752734642933,-0.17158245891015253
54.0,3.640835982118933,1.3874173873407263,12.90323832447369,42.04165903818981,-0.00875986219084017,0.009789494925642274,0.20642247902631974,-0.16896240672368024
56.0,3.6246575620050008,1.405787676680995,13.306579974493058,41.7059272087663,-0.007392082899677556,0.008551526921630782,0.1966143163811356,-0.16685780641147682
58.0,3.6113804231839683,1.4214982641094436,13.68842549598633,41.37386437743364,-0.0058551446128965665,0.007125712540909476,0.18490101271809498,-0.16529835876467247
60.0,3.601363501357338,1.4341489740351752,14.044812580225011,41.04435053806992,-0.004128429620230301,0.005487568946001983,0.17113054134441577,-0.16431376457439742
