t,apa_mm,amox_mm,aoh_mm,ester_mm,apa_dot,amox_dot,aoh_dot,ester_dot
0.0,59.9,0.1,0.0,80.0,-0.0891381940531897,0.09548737327718478,0.03851324146613828,-0.13701352308687936
5.0,59.47425735641179,0.5366115755208498,0.20913762111728243,79.31861898303302,-0.08886589843707625,0.09478520304403172,0.03890736797082444,-0.1370522914063847
10.0,59.03070131293768,1.0087238938868806,0.4046639600056514,78.63335728219313,-0.08854918802587823,0.09405512251372658,0.0393034850671257,-0.1370447344233731
15.0,58.58883807002832,1.4771172820469558,0.6021755037878984,77.94824752008567,-0.08818892128949415,0.09329773081672563,0.03970142136304233,-0.1369916486685251
20.0,58.148883263134884,1.9416566819937375,0.801680919982101,77.26351534924314,-0.08778595669782258,0.09251362708348514,0.04010100546657461,-0.1368938306725213
25.0,57.71104823535907,2.4022100313721686,1.0031880191463376,76.57938243954459,-0.08734115272076201,0.09170341044446137,0.0405020659857228,-0.1367520769660423
30.0,57.275540037453084,2.858648263479473,1.2067037548786892,75.8960664782157,-0.08685536782821099,0.0908676800301106,0.04090443152848717,-0.13656718407976864
35.0,56.84256142781962,3.3108453072651565,1.4122342238172367,75.21378116982876,-0.08632946049006805,0.09000703497088909,0.041307930702867986,-0.13633994854438092
40.0,56.412310872511895,3.7586780873310066,1.6197846656400634,74.53273623630263,-0.08576428917623173,0.08912207439725311,0.04171239211686553,-0.1360711668905597
45.0,55.98498254523363,4.2020265239310906,1.8293594630652537,73.85313741690275,-0.08516071235660054,0.08821339743965893,0.04211764437848006,-0.13576163564898558
50.0,55.560766327339046,4.6407735329717585,2.040962141850893,73.17518646824122,-0.08451958850107302,0.0872816032285628,0.04252351609571186,-0.1354121513503391
55.0,55.13984780783289,5.074805026011642,2.2545953707950686,72.49908116427667,-0.08384177607954772,0.08632729089442102,0.042929835876561184,-0.13502351052530084
60.0,54.7224082833704,5.5040099102616535,2.4702609617358675,71.82501529631439,-0.08312813356192314,0.08535105956768983,0.04333643232902831,-0.1345965097045514
65.0,54.308624758257324,5.9282800885849865,2.6879598695513818,71.15317867300621,-0.08237951941809782,0.08435350837882552,0.04374313406111351,-0.13413194541877133
70.0,53.89866994444993,6.347510459497114,2.9076921921597005,70.4837571203506,-0.0815967921179703,0.08333523645828433,0.04414976968081705,-0.13363061419864122
75.0,53.49271226155496,6.761598917165795,3.1294571705189163,69.81693248169259,-0.08078081013143912,0.08229684293652255,0.044556167796139204,-0.13309331257484164
80.0,53.09091583682971,7.170446351411067,3.3532531886271237,69.15288261772383,-0.07993243192840277,0.08123892694399645,0.04496215701508023,-0.13252083707805318
85.0,52.69344050518195,7.573956647705246,3.5790777735224175,68.49178140648257,-0.07905251597875983,0.08016208761116228,0.04536756594564042,-0.13191398423895637
90.0,52.30044180916996,7.972036687172936,3.8069275952828936,67.83379874335364,-0.07814192075240879,0.07906692406847632,0.04577222319582002,-0.13127355058823184
95.0,51.912070999002545,8.364596346591018,4.0367984670266495,67.1791005410685,-0.07720150471924822,0.07795403544639484,0.04617595737361931,-0.13060033265656013
100.0,51.52847503253899,8.751548498388653,4.268685344911786,66.52784872970516,-0.07623212634917662,0.0768240208753741,0.04657859708703857,-0.12989512697462183
105.0,51.14979657528913,9.132809010647287,4.502582328136403,65.88020125668825,-0.07523464411209252,0.07567747948587038,0.046979970944078055,-0.1291587300730975
110.0,50.77617400041326,9.508296747100646,4.738482658938601,65.23631208678903,-0.07420991647789447,0.07451501040833992,0.04737990755273804,-0.12839193848266772
115.0,50.407741388722215,9.877933567134734,4.976378722596484,64.59633120212528,-0.073158801916481,0.07333721277323903,0.0477782355210188,-0.1275955487340131
120.0,50.044628528677315,10.241644325787846,5.216262047428157,63.96040460216147,-0.07208215889775062,0.07214468571102395,0.0481747834569206,-0.12677035735781417
125.0,49.686960916390404,10.599356873750546,5.458123304791726,63.32867430370858,-0.07098084589160189,0.07093802835215093,0.0485693799684437,-0.12591716088475152
130.0,49.334859755623825,10.951002057365685,5.701952309085297,62.701278340924254,-0.0698557213679333,0.06971783982707629,0.04896185366358839,-0.12503675584550575
135.0,48.98844195779044,11.296513718628399,5.94773801774698,62.07835076531269,-0.06870764379664343,0.06848471926625625,0.04935203315035493,-0.12412993877075738
140.0,48.647820141953595,11.635828695186099,6.195468531254884,61.460021645724716,-0.06753747164763077,0.06723926580014711,0.04973974703674359,-0.12319750619118704
145.0,48.313102634827175,11.968886820338481,6.44513109312712,60.846417068357724,-0.06634606339079388,0.06598207855920513,0.05012482393075464,-0.12224025463747526
150.0,47.98439347077554,12.295630923037523,6.696712089921801,60.23765913675574,-0.06513427749603128,0.06471375667388654,0.05050709244038835,-0.12125898064030266
155.0,47.66179239181357,12.61600682788748,6.950197051237041,59.63386597180934,-0.06390297243324149,0.06343489927464768,0.05088638117364498,-0.12025448073034978
160.0,47.34539484760667,12.929963355144892,7.205570649710957,59.03515171175573,-0.06265300667232306,0.06214610549194475,0.051262518738524825,-0.1192275514382972
165.0,47.03529199547072,13.23745232071858,7.462816701021661,58.44162651217873,-0.06138523868317449,0.06084797445623406,0.05163533374302813,-0.11817898929482551
170.0,46.731570700372146,13.538428536169647,7.721918163887277,57.85339654600871,-0.06010052693569434,0.05954110529797186,0.05200465479515518,-0.11710959083061528
175.0,46.43431353492784,13.832849808711474,7.982857140065921,57.27056400352268,-0.05879972989978115,0.05822609714761442,0.052370310502906234,-0.1160201525763471
180.0,46.143598779405224,14.120676941209727,8.245614874355713,56.6932270923442,-0.05748370604533341,0.056903549135618015,0.052732129474281575,-0.1149114710627015
185.0,45.85950042172223,14.401873732182349,8.510171754594776,56.12148003744349,-0.05615331384224969,0.0555740603924389,0.05308994031728146,-0.1137843428203591
190.0,45.58208815744729,14.676406975799573,8.776507311661236,55.5554130811373,-0.0548094117604285,0.054238230048533356,0.053443571639906165,-0.11263956438000045
195.0,45.31142738979934,14.9442464618839,9.044600219473214,54.995112483089045,-0.053452858269768366,0.052896657234357644,0.053792852050155965,-0.11147793227230614
200.0,45.04757922964784,15.205364975910125,9.314428294988838,54.44066052030867,-0.052084511840167845,0.051549941080368034,0.05413761015603112,-0.11030024302795673
205.0,44.790600495512734,15.459738299005316,9.585968498206233,53.892135487152764,-0.05070523094152544,0.05019868071702079,0.0544776745655319,-0.1091072931776328
210.0,44.54054371356449,15.70734520794883,9.859196932163533,53.3496116953245,-0.049315874043739695,0.04884347527477219,0.054812873886658585,-0.10789987925201494
215.0,44.29745711762408,15.948167475172298,10.134088842938862,52.81315947387364,-0.04791729961670914,0.04748492388407849,0.05514303672741144,-0.1066787977817837
220.0,44.061384649162974,16.182189868759632,10.410618619650359,52.28284516919655,-0.04651036613033231,0.04612362567539596,0.05546799169579073,-0.10544484529761969
225.0,43.83236595730317,16.409400152447034,10.688759794456148,51.758731145036194,-0.04509593205450772,0.04476017977918088,0.055787567399796734,-0.10419881833020345
230.0,43.61043639881714,16.62978908562298,10.96848504255437,51.240875782482135,-0.043674855859133915,0.0433951853258895,0.05610159244742971,-0.10294151341021557
235.0,43.39562703812791,16.843350423328232,11.249766182183158,50.72933347997052,-0.042247996014109425,0.042029241445978104,0.05640989544668994,-0.10167372706833662
240.0,43.187964647308974,17.050080916255826,11.532574174620649,50.22415465328412,-0.04081621098933278,0.040662947269902945,0.05671230500557768,-0.1003962558352472
245.0,42.987471706084335,17.24998031075108,11.81687912418498,49.725385735552265,-0.0393803592547025,0.03929690192812031,0.057008649732093214,-0.09910989624162783
250.0,42.79416640182854,17.443051348811608,12.102650278234297,49.233069177250925,-0.037941299280117136,0.03793170455108645,0.057298758234236816,-0.09781544481815915
255.0,42.60806262956659,17.62929976808729,12.389856027166731,48.747243446202624,-0.03649988953547519,0.03656795426925762,0.05758245912000874,-0.09651369809552168
260.0,42.42916999197405,17.80873430188029,12.678463904420429,48.26794302757652,-0.03505698849067523,0.03520625021309013,0.05785958099740926,-0.09520545260439606
265.0,42.257493799376945,17.98136667914505,12.96844058647354,47.795198423888344,-0.033613454615615754,0.03384719151304021,0.05812995247443865,-0.09389150487546279
270.0,42.09303506975182,18.147211624488314,13.259751892844198,47.32903615500044,-0.03217014638019531,0.03249137729956415,0.05839340215909718,-0.09257265143940248
275.0,41.93579052872576,18.306286858169074,13.552362786090558,46.86947875812173,-0.030727922254312416,0.03113940670311821,0.05864975865938511,-0.09124968882689571
