t,apa_mm,amox_mm,aoh_mm,ester_mm,apa_dot,amox_dot,aoh_dot,ester_dot
0.0,100.0,0.1,1.4,40.0,-0.042702107121974316,0.04208773959067912,0.03291692240843324,-0.12842630040506195
2.0,99.90838828526587,0.1933981200225926,1.4591723359539945,39.7197394171548,-0.04338279829643624,0.04263001283155082,0.0325389305381588,-0.12624437677551095
4.0,99.82096597378917,0.27917983339662655,1.5238749001326466,39.46940492069154,-0.04403475588865008,0.04314761647371316,0.03216417197225267,-0.12409562997645024
6.0,99.73226816432266,0.36597235976642517,1.5878311749608347,39.22333493282639,-0.04465835956377497,0.043640880889345375,0.03179264008309096,-0.12197982981130201
8.0,99.64235118503537,0.45372735105110745,1.6510476071644242,38.98146379048811,-0.04525398898697005,0.044110136450626745,0.031424328243049776,-0.11989674608348849
10.0,99.55127060476596,0.5423971199141511,1.7135306302140316,38.7437262909986,-0.04582202382339443,0.044555713529736515,0.03105922982450523,-0.11784614859643194
12.0,99.45908123302286,0.631934639763392,1.775286664325027,38.51005769207293,-0.04636284373820724,0.04497794249885396,0.030697338199833432,-0.11582780715355456
14.0,99.3658371199841,0.7222935447510248,1.8363221164575312,38.280393711819315,-0.046876828396567614,0.045377153730158326,0.0303386467414105,-0.1138414915582786
16.0,99.27159155649746,0.8134281297736028,1.8966433803164189,38.05467052873913,-0.04736435746363467,0.04575367759582888,0.029983148821612543,-0.11188697161402629
18.0,99.17639707408033,0.9052933504720373,1.9562568363513155,37.83282478172691,-0.04782581060456753,0.046107844468044876,0.029630837812815676,-0.10996401712421983
20.0,99.08030544491983,0.9978448232315987,2.0151688517565995,37.61479357007034,-0.048261567484525335,0.04643998471898558,0.029281707087396008,-0.10807239789228147
22.0,98.98336768187276,1.0910388251819156,2.0733857804714018,37.400514453450256,-0.0486720077686672,0.04675042872083025,0.02893575001772965,-0.10621188372163344
24.0,98.8856340384656,1.1848322941969753,2.1309139631796046,37.18992545194067,-0.04905751112215226,0.04703950684575815,0.028592959976192718,-0.10438224441569796
26.0,98.78715400889449,1.2791828288951232,2.1877597273098432,36.98296504600871,-0.04941845721013964,0.047307549465948534,0.02825333033516132,-0.10258324977789726
28.0,98.68797632802527,1.374048688639064,2.243929387035504,36.779572176514705,-0.04975522569778845,0.04755488695358066,0.027916854467011566,-0.10081466961165358
30.0,98.58814897139345,1.46938879353586,2.299429243274728,36.57968624471211,-0.050068196250257845,0.0477818496808338,0.027583525744119576,-0.09907627372038914
32.0,98.48771915520425,1.5651627244369326,2.354265583690405,36.383247112247545,-0.05035774853270693,0.0479887680198872,0.027253337538861454,-0.09736783190752617
34.0,98.38673333633253,1.6613307229380616,2.40844468269018,36.19019510116079,-0.05062426221029483,0.04817597234292012,0.026926283223613318,-0.0956891139764869
36.0,98.28523721232287,1.7578536913793856,2.461972801426449,36.00047099388477,-0.05086811694818069,0.04834379302211183,0.026602356170751275,-0.09403988973069355
38.0,98.1832757213895,1.854693192845401,2.51485618779636,35.81401603324557,-0.05108969241152363,0.048492560429641576,0.026281549752651442,-0.09241992897356835
40.0,98.08089304241636,1.9518114511649634,2.567101076441814,35.630771922462436,-0.051289368265482756,0.048622604937688635,0.025963857341689926,-0.09082900150853354
42.0,97.97813259495706,2.0491713509112865,2.6187136887494624,35.450680825147764,-0.051467524175217216,0.04873425691843225,0.025649272310242843,-0.08926687713901135
44.0,97.87503703923487,2.146736437401943,2.6697002328507122,35.2736853653071,-0.05162453980588613,0.048827846744051696,0.0253377880306863,-0.08773332566842401
46.0,97.77164827614278,2.2444709166988632,2.720066903621719,35.09972862733916,-0.051760794822648636,0.04890370478672622,0.025029397875396417,-0.08622811690019372
48.0,97.66800744724344,2.3423396556083373,2.769819882683393,34.92875415603581,-0.05187666889066384,0.04896216141863509,0.024724095216749297,-0.08475102063774274
50.0,97.56415493476919,2.440308181681013,2.8189653384013957,34.76070595658206,-0.05197254167509088,0.04900354701195756,0.024421873427121057,-0.0833018066844933
