,kcat1,kcat2,Km1,Km2,Tmax,Ken,kAB,kAN,kAOH,kNH
multi_luci_100000,0.00010210409941440787,2.8901783480249274e-06,0.009864042577562519,3.5332650703964824e-06,8.902893867768475e-05,0.003606542184223866,0.000354710917878954,0.00036310888255453337,0.005506446986582311,0.0034888274047445867
multi_lucas_100000,5.861861030901034e-05,6.1020006586480136e-05,0.005180740037659048,0.00022968414231550106,0.00012285151682765955,0.007873754840580281,0.00014572560908882422,0.00016090637362420993,0.008032506498765423,0.00040277963383377006
multi_process_100000,5.986275017782705e-05,0.0003517369528720768,7.14140764574546e-05,0.00010762688250693662,0.00043544140278455127,0.008825602908213331,0.2853983229530772,0.0012651692541035577,5.59305222993887e-06,0.21614994583941588
multi_bestnm_100000,9.387558049842386e-05,3.2046197737771475e-06,0.0014925298822555404,9.721848723430195e-08,0.0001202144879144132,0.0061647220346414365,2.328949038656605e-06,4.566053873895915e-05,0.0006478998607497612,0.0005612149724238631
multi_luci_200000,6.998396957756163e-05,1.9300997765929993e-06,0.008608982872503326,1.3092553016834862e-06,7.967629631015595e-05,0.004315757128146623,5.745022782591629e-05,0.00032554920937516294,0.005225315240978951,0.00044591109993824166
multi_lucas_200000,5.448082276912028e-05,2.233082468138707e-06,0.004614594345549409,2.7790444506131626e-06,7.506641236208384e-05,0.004330639275533605,5.564902076181846e-05,0.00016799414373843026,0.005468721279165177,0.004076300959502058
multi_process_200000,7.837016991974892e-05,0.0004465268158471705,4.257129444540505e-06,6.927453656768198e-06,0.0003987507004154332,0.006165779801516813,0.27847017545761643,0.0005048624636675096,4.710302486927e-07,0.11273212296961677
multi_bestnm_200000,5.474601926619913e-05,2.5733111167011985e-06,0.001030625102621584,2.575813136200333e-09,0.00010087164930348922,0.005910004657059688,3.6953779481637684e-08,3.456864752097224e-05,0.0003063646496544517,2.857708780472435e-05
